Using Threads?,Total Duration (s),,Using Threads?,Total Duration (s)
Average:,7.302518825,,Average:,41.8303332947368
True,6.719368,,False,39.202909
True,6.8474963,,False,39.2511647
True,6.8610986,,False,39.407918
True,6.9337554,,False,39.4826587
True,7.048848,,False,39.5086129
True,7.0654569,,False,39.7423354
True,7.1098112,,False,39.8460065
True,7.1192251,,False,39.8708447
True,7.162705,,False,39.8922282
True,7.2489902,,False,40.079585
True,7.2675579,,False,40.0812594
True,7.2975251,,False,43.8715992
True,7.3090358,,False,44.0147659
True,7.3913471,,False,44.414711
True,7.5025461,,False,44.713836
True,7.6319075,,False,45.1415462
True,7.8073196,,False,45.1568968
True,7.867798,,False,45.2994656
True,7.8887433,,False,45.7979894
True,7.9698414,,,
